run,workload_type,timestamp_ns,runtime_ns,voluntary_ctxt_switches,nonvoluntary_ctxt_switches,minor_page_faults,major_page_faults,start_cpu,end_cpu,time_microseconds
199,fork,25578353539801,68228,0,0,0,0,-1,-1,68.23
200,fork,25578353609510,67785,0,0,0,0,-1,-1,67.78
201,fork,25578353678670,61732,0,0,0,0,-1,-1,61.73
202,fork,25578353741791,62852,0,0,0,0,-1,-1,62.85
203,fork,25578353806106,68604,0,0,0,0,-1,-1,68.60
204,fork,25578353876200,64344,0,0,0,0,-1,-1,64.34
205,fork,25578353941913,73480,0,0,0,0,-1,-1,73.48
206,fork,25578354016649,92680,0,0,0,0,-1,-1,92.68
207,fork,25578354111457,74942,0,0,0,0,-1,-1,74.94
208,fork,25578354191156,112693,0,0,0,0,-1,-1,112.69
209,fork,25578354306504,81352,0,0,0,0,-1,-1,81.35
210,fork,25578354390123,81311,0,0,0,0,-1,-1,81.31
211,fork,25578354473630,79044,0,0,0,0,-1,-1,79.04
212,fork,25578354554979,79438,0,0,0,0,-1,-1,79.44
213,fork,25578354636492,90363,0,0,0,0,-1,-1,90.36
214,fork,25578354728861,70535,0,0,0,0,-1,-1,70.53
215,fork,25578354801397,68739,0,0,0,0,-1,-1,68.74
216,fork,25578354872107,67863,0,0,0,0,-1,-1,67.86
217,fork,25578354941981,71994,0,0,0,0,-1,-1,71.99
218,fork,25578355016091,78981,0,0,0,0,-1,-1,78.98
219,fork,25578355097066,74116,0,0,0,0,-1,-1,74.12
220,fork,25578355173945,70537,0,0,0,0,-1,-1,70.54
221,fork,25578355247358,71242,0,0,0,0,-1,-1,71.24
222,fork,25578355321100,71114,0,0,0,0,-1,-1,71.11
223,fork,25578355394777,71337,0,0,0,0,-1,-1,71.34
224,fork,25578355469032,69742,0,0,0,0,-1,-1,69.74
225,fork,25578355541623,77460,0,0,0,0,-1,-1,77.46
226,fork,25578355621622,77708,0,0,0,0,-1,-1,77.71
227,fork,25578355702229,80429,0,0,0,0,-1,-1,80.43
228,fork,25578355785378,69306,0,0,0,0,-1,-1,69.31
229,fork,25578355857209,75529,0,0,0,0,-1,-1,75.53
230,fork,25578355935738,131233,0,0,0,0,-1,-1,131.23
231,fork,25578356071128,96355,0,0,0,0,-1,-1,96.36
232,fork,25578356170833,89091,0,0,0,0,-1,-1,89.09
233,fork,25578356263352,87196,0,0,0,0,-1,-1,87.20
234,fork,25578356354178,84265,0,0,0,0,-1,-1,84.27
235,fork,25578356441533,81370,0,0,0,0,-1,-1,81.37
236,fork,25578356526219,78474,0,0,0,0,-1,-1,78.47
237,fork,25578356607697,78539,0,0,0,0,-1,-1,78.54
238,fork,25578356690066,83663,0,0,0,0,-1,-1,83.66
239,fork,25578356776488,82817,0,0,0,0,-1,-1,82.82
240,fork,25578356862177,75865,0,0,0,0,-1,-1,75.86
241,fork,25578356940656,84331,0,0,0,0,-1,-1,84.33
242,fork,25578357028051,85964,0,0,0,0,-1,-1,85.96
243,fork,25578357149131,85135,0,0,0,0,-1,-1,85.14
244,fork,25578357237192,76155,0,0,0,0,-1,-1,76.16
245,fork,25578357315868,70480,0,0,0,0,-1,-1,70.48
246,fork,25578357388364,77641,0,0,0,0,-1,-1,77.64
247,fork,25578357468149,67839,0,0,0,0,-1,-1,67.84
248,fork,25578357537965,72203,0,0,0,0,-1,-1,72.20
