run,workload_type,timestamp_ns,runtime_ns,voluntary_ctxt_switches,nonvoluntary_ctxt_switches,minor_page_faults,major_page_faults,start_cpu,end_cpu,throughput_gflops
367,avx2_add,25574924067198,245682,0,0,0,0,-1,-1,4.268
368,avx2_add,25574924313932,241556,0,0,0,0,-1,-1,4.341
369,avx2_add,25574924556555,237531,0,0,0,0,-1,-1,4.414
370,avx2_add,25574924794920,243774,0,0,0,0,-1,-1,4.301
371,avx2_add,25574925039761,240774,0,0,0,0,-1,-1,4.355
372,avx2_add,25574925281476,241208,0,0,0,0,-1,-1,4.347
373,avx2_add,25574925523803,238441,0,0,0,0,-1,-1,4.398
374,avx2_add,25574925763210,236137,0,0,0,0,-1,-1,4.441
375,avx2_add,25574926005913,238024,0,0,0,0,-1,-1,4.405
376,avx2_add,25574926245044,236776,0,0,0,0,-1,-1,4.429
377,avx2_add,25574926482937,236050,0,0,0,0,-1,-1,4.442
378,avx2_add,25574926720034,234549,0,0,0,0,-1,-1,4.471
379,avx2_add,25574926955530,248725,0,0,0,0,-1,-1,4.216
380,avx2_add,25574927205407,242025,0,0,0,0,-1,-1,4.333
